epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1716.22,0.75765,0.76882,0.12042,0.42541,0.8405,0.98714,0.99807,0.99223,0.7811,0.94354,0.95701,0.93931,0.83483,0.81001,0.98732,0.03441,0.40359,0.82824,0.000387052,0.000387052,0.000387052
60,1726.9,0.73758,0.77594,0.11436,0.41487,0.83074,0.98792,0.99762,0.99328,0.78322,0.94827,0.95773,0.94382,0.84502,0.80494,0.96607,0.03492,0.39058,0.82749,0.000378053,0.000378053,0.000378053
61,1737.85,0.7335,0.78568,0.11041,0.41291,0.82796,0.98837,0.99828,0.99317,0.78493,0.95206,0.96168,0.9486,0.83056,0.79892,0.98299,0.0342,0.39517,0.82384,0.000369054,0.000369054,0.000369054
62,1748.58,0.73418,0.8531,0.12066,0.41783,0.82582,0.99229,0.99457,0.99266,0.78505,0.94977,0.95318,0.93483,0.83548,0.79431,0.97478,0.03564,0.39787,0.82481,0.000360055,0.000360055,0.000360055
63,1759.34,0.72963,0.73619,0.10812,0.41407,0.82471,0.99222,0.99726,0.99354,0.78593,0.95428,0.95922,0.95255,0.85351,0.79087,0.9618,0.03304,0.38516,0.82378,0.000351056,0.000351056,0.000351056
64,1770.23,0.72457,0.76819,0.10508,0.40888,0.82935,0.98712,0.9962,0.99307,0.78635,0.94659,0.95225,0.93736,0.84089,0.79932,0.97403,0.03242,0.39237,0.82591,0.000342057,0.000342057,0.000342057
65,1781.23,0.7184,0.78251,0.10881,0.40212,0.82406,0.99081,0.99807,0.99289,0.78437,0.95444,0.95803,0.94205,0.84004,0.79309,0.94827,0.03409,0.38952,0.8234,0.000333058,0.000333058,0.000333058
66,1792.02,0.72038,0.70736,0.10463,0.40477,0.82868,0.98797,1,0.99217,0.78523,0.95216,0.96385,0.94877,0.8424,0.79197,0.95532,0.03447,0.38591,0.82576,0.000324058,0.000324058,0.000324058
67,1802.76,0.73414,0.67994,0.11094,0.40561,0.82921,0.9877,0.99788,0.99272,0.79007,0.94749,0.95736,0.94027,0.84889,0.78625,0.94714,0.03514,0.37979,0.82343,0.000315059,0.000315059,0.000315059
68,1813.89,0.71956,0.82358,0.11183,0.40426,0.82917,0.99148,0.99869,0.99271,0.79002,0.95465,0.96162,0.94763,0.84095,0.79174,0.95303,0.03502,0.38549,0.824,0.00030606,0.00030606,0.00030606
69,1824.94,0.69149,0.75035,0.10928,0.39492,0.82727,0.9898,0.99859,0.99309,0.78729,0.95811,0.9587,0.94584,0.83778,0.79311,0.94847,0.0321,0.38228,0.82345,0.000297061,0.000297061,0.000297061
70,1835.88,0.71954,0.7273,0.09848,0.40012,0.82526,0.98599,0.99909,0.99362,0.78871,0.95368,0.95695,0.9486,0.85482,0.7969,0.94145,0.03191,0.38325,0.82513,0.000288062,0.000288062,0.000288062
71,1846.98,0.71334,0.79101,0.10565,0.39819,0.83087,0.98799,0.99807,0.99308,0.7895,0.95674,0.96063,0.95096,0.85269,0.78473,0.94022,0.03325,0.37836,0.82279,0.000279063,0.000279063,0.000279063
72,1857.97,0.70364,0.72762,0.09925,0.39727,0.82339,0.98944,0.99908,0.99279,0.79012,0.95523,0.96453,0.9549,0.85602,0.79289,0.93561,0.03233,0.38206,0.82357,0.000270064,0.000270064,0.000270064
73,1869.41,0.72043,0.88704,0.10303,0.39833,0.82375,0.98922,0.9996,0.99319,0.78904,0.949,0.95902,0.94327,0.8529,0.78898,0.93414,0.03025,0.37718,0.82351,0.000261065,0.000261065,0.000261065
