epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,562.738,1.2225,0.75294,1.13455,0.75172,0.77063,0.78994,0.50593,1.47089,0.87326,1.3438,0.00039342,0.00039342,0.00039342
76,570.107,1.20304,0.72239,1.1241,0.76101,0.77933,0.78786,0.49515,1.474,0.84736,1.34666,0.000388345,0.000388345,0.000388345
77,577.856,1.21545,0.74527,1.12842,0.76865,0.77264,0.78599,0.49968,1.48363,0.87743,1.33998,0.00038327,0.00038327,0.00038327
78,585.022,1.2159,0.73352,1.1207,0.80738,0.74462,0.79302,0.49775,1.49615,0.859,1.35916,0.000378194,0.000378194,0.000378194
79,592.691,1.19311,0.75735,1.14969,0.75355,0.77676,0.78489,0.49609,1.48769,0.87283,1.34966,0.000373119,0.000373119,0.000373119
80,600.092,1.16704,0.72698,1.11833,0.76339,0.78203,0.78456,0.49798,1.50037,0.86585,1.34599,0.000368043,0.000368043,0.000368043
81,607.481,1.1962,0.73028,1.11825,0.81492,0.74234,0.8047,0.51088,1.45851,0.87219,1.33692,0.000362968,0.000362968,0.000362968
82,615.181,1.17936,0.74247,1.12888,0.79842,0.75982,0.78571,0.50642,1.47557,0.83729,1.34852,0.000357893,0.000357893,0.000357893
83,622.635,1.17651,0.71553,1.12848,0.78034,0.75898,0.8164,0.52325,1.47201,0.82773,1.32862,0.000352817,0.000352817,0.000352817
84,630.092,1.17327,0.71731,1.10708,0.80278,0.75782,0.7803,0.5036,1.46964,0.87297,1.34199,0.000347742,0.000347742,0.000347742
85,637.874,1.15762,0.72368,1.12466,0.81388,0.75989,0.79898,0.51497,1.47535,0.87313,1.33592,0.000342666,0.000342666,0.000342666
86,645.684,1.15877,0.70992,1.10418,0.8004,0.75433,0.79781,0.51129,1.4751,0.83356,1.33709,0.000337591,0.000337591,0.000337591
87,653.413,1.1593,0.69526,1.10044,0.80108,0.76273,0.81679,0.51562,1.47437,0.83933,1.35501,0.000332516,0.000332516,0.000332516
88,660.707,1.16062,0.70732,1.11897,0.80979,0.75142,0.80848,0.51463,1.48992,0.85088,1.35642,0.00032744,0.00032744,0.00032744
89,668.035,1.15453,0.68768,1.09182,0.75978,0.78308,0.78422,0.4986,1.48871,0.84384,1.35883,0.000322365,0.000322365,0.000322365
90,675.722,1.15239,0.68476,1.09076,0.80589,0.74667,0.78497,0.50105,1.47683,0.84294,1.35642,0.000317289,0.000317289,0.000317289
91,683.41,1.14792,0.67148,1.08118,0.79908,0.76815,0.79528,0.51376,1.46445,0.84024,1.34478,0.000312214,0.000312214,0.000312214
92,691.07,1.12846,0.6863,1.0831,0.75689,0.77665,0.80709,0.51263,1.4764,0.858,1.34505,0.000307139,0.000307139,0.000307139
93,698.467,1.13483,0.6844,1.08539,0.77693,0.77708,0.80158,0.51511,1.47038,0.85941,1.34217,0.000302063,0.000302063,0.000302063
94,705.902,1.11104,0.67939,1.09665,0.77752,0.7578,0.79221,0.50833,1.46457,0.84321,1.33749,0.000296988,0.000296988,0.000296988
95,713.543,1.12232,0.6771,1.08413,0.79079,0.75727,0.80865,0.51305,1.47499,0.85468,1.36014,0.000291912,0.000291912,0.000291912
96,720.692,1.12051,0.67408,1.07723,0.81352,0.76718,0.804,0.50906,1.48119,0.83185,1.36544,0.000286837,0.000286837,0.000286837
97,728.307,1.10723,0.67173,1.08813,0.77322,0.78373,0.79475,0.50664,1.47225,0.86391,1.35013,0.000281762,0.000281762,0.000281762
98,735.556,1.11349,0.67882,1.08261,0.79478,0.77034,0.81355,0.51851,1.48804,0.83773,1.36273,0.000276686,0.000276686,0.000276686
99,743.373,1.11057,0.67964,1.08813,0.80776,0.76907,0.79874,0.50796,1.48044,0.84924,1.35371,0.000271611,0.000271611,0.000271611
100,750.853,1.14411,0.66931,1.08068,0.81456,0.76118,0.80335,0.51719,1.47848,0.85761,1.35221,0.000266535,0.000266535,0.000266535
101,758.266,1.09499,0.6694,1.07938,0.79673,0.76811,0.80916,0.51833,1.46162,0.82496,1.34648,0.00026146,0.00026146,0.00026146
102,765.973,1.0889,0.65799,1.07646,0.81154,0.76765,0.82104,0.53065,1.47701,0.81515,1.34855,0.000256385,0.000256385,0.000256385
