name,connection_type,axis,member_count,member_ids,adjacent_pairs
terminal_lower_col_42,vertical_terminal_strip,vertical,5,F42;G42;H42;I42;J42,F42<->G42;G42<->H42;H42<->I42;I42<->J42
terminal_upper_col_43,vertical_terminal_strip,vertical,5,A43;B43;C43;D43;E43,A43<->B43;B43<->C43;C43<->D43;D43<->E43
terminal_lower_col_43,vertical_terminal_strip,vertical,5,F43;G43;H43;I43;J43,F43<->G43;G43<->H43;H43<->I43;I43<->J43
terminal_upper_col_44,vertical_terminal_strip,vertical,5,A44;B44;C44;D44;E44,A44<->B44;B44<->C44;C44<->D44;D44<->E44
terminal_lower_col_44,vertical_terminal_strip,vertical,5,F44;G44;H44;I44;J44,F44<->G44;G44<->H44;H44<->I44;I44<->J44
terminal_upper_col_45,vertical_terminal_strip,vertical,5,A45;B45;C45;D45;E45,A45<->B45;B45<->C45;C45<->D45;D45<->E45
terminal_lower_col_45,vertical_terminal_strip,vertical,5,F45;G45;H45;I45;J45,F45<->G45;G45<->H45;H45<->I45;I45<->J45
terminal_upper_col_46,vertical_terminal_strip,vertical,5,A46;B46;C46;D46;E46,A46<->B46;B46<->C46;C46<->D46;D46<->E46
terminal_lower_col_46,vertical_terminal_strip,vertical,5,F46;G46;H46;I46;J46,F46<->G46;G46<->H46;H46<->I46;I46<->J46
terminal_upper_col_47,vertical_terminal_strip,vertical,5,A47;B47;C47;D47;E47,A47<->B47;B47<->C47;C47<->D47;D47<->E47
terminal_lower_col_47,vertical_terminal_strip,vertical,5,F47;G47;H47;I47;J47,F47<->G47;G47<->H47;H47<->I47;I47<->J47
terminal_upper_col_48,vertical_terminal_strip,vertical,5,A48;B48;C48;D48;E48,A48<->B48;B48<->C48;C48<->D48;D48<->E48
terminal_lower_col_48,vertical_terminal_strip,vertical,5,F48;G48;H48;I48;J48,F48<->G48;G48<->H48;H48<->I48;I48<->J48
terminal_upper_col_49,vertical_terminal_strip,vertical,5,A49;B49;C49;D49;E49,A49<->B49;B49<->C49;C49<->D49;D49<->E49
terminal_lower_col_49,vertical_terminal_strip,vertical,5,F49;G49;H49;I49;J49,F49<->G49;G49<->H49;H49<->I49;I49<->J49
terminal_upper_col_50,vertical_terminal_strip,vertical,5,A50;B50;C50;D50;E50,A50<->B50;B50<->C50;C50<->D50;D50<->E50
terminal_lower_col_50,vertical_terminal_strip,vertical,5,F50;G50;H50;I50;J50,F50<->G50;G50<->H50;H50<->I50;I50<->J50
terminal_upper_col_51,vertical_terminal_strip,vertical,5,A51;B51;C51;D51;E51,A51<->B51;B51<->C51;C51<->D51;D51<->E51
terminal_lower_col_51,vertical_terminal_strip,vertical,5,F51;G51;H51;I51;J51,F51<->G51;G51<->H51;H51<->I51;I51<->J51
terminal_upper_col_52,vertical_terminal_strip,vertical,5,A52;B52;C52;D52;E52,A52<->B52;B52<->C52;C52<->D52;D52<->E52
terminal_lower_col_52,vertical_terminal_strip,vertical,5,F52;G52;H52;I52;J52,F52<->G52;G52<->H52;H52<->I52;I52<->J52
terminal_upper_col_53,vertical_terminal_strip,vertical,5,A53;B53;C53;D53;E53,A53<->B53;B53<->C53;C53<->D53;D53<->E53
terminal_lower_col_53,vertical_terminal_strip,vertical,5,F53;G53;H53;I53;J53,F53<->G53;G53<->H53;H53<->I53;I53<->J53
terminal_upper_col_54,vertical_terminal_strip,vertical,5,A54;B54;C54;D54;E54,A54<->B54;B54<->C54;C54<->D54;D54<->E54
terminal_lower_col_54,vertical_terminal_strip,vertical,5,F54;G54;H54;I54;J54,F54<->G54;G54<->H54;H54<->I54;I54<->J54
terminal_upper_col_55,vertical_terminal_strip,vertical,5,A55;B55;C55;D55;E55,A55<->B55;B55<->C55;C55<->D55;D55<->E55
terminal_lower_col_55,vertical_terminal_strip,vertical,5,F55;G55;H55;I55;J55,F55<->G55;G55<->H55;H55<->I55;I55<->J55
terminal_upper_col_56,vertical_terminal_strip,vertical,5,A56;B56;C56;D56;E56,A56<->B56;B56<->C56;C56<->D56;D56<->E56
terminal_lower_col_56,vertical_terminal_strip,vertical,5,F56;G56;H56;I56;J56,F56<->G56;G56<->H56;H56<->I56;I56<->J56
terminal_upper_col_57,vertical_terminal_strip,vertical,5,A57;B57;C57;D57;E57,A57<->B57;B57<->C57;C57<->D57;D57<->E57
terminal_lower_col_57,vertical_terminal_strip,vertical,5,F57;G57;H57;I57;J57,F57<->G57;G57<->H57;H57<->I57;I57<->J57
terminal_upper_col_58,vertical_terminal_strip,vertical,5,A58;B58;C58;D58;E58,A58<->B58;B58<->C58;C58<->D58;D58<->E58
terminal_lower_col_58,vertical_terminal_strip,vertical,5,F58;G58;H58;I58;J58,F58<->G58;G58<->H58;H58<->I58;I58<->J58
terminal_upper_col_59,vertical_terminal_strip,vertical,5,A59;B59;C59;D59;E59,A59<->B59;B59<->C59;C59<->D59;D59<->E59
terminal_lower_col_59,vertical_terminal_strip,vertical,5,F59;G59;H59;I59;J59,F59<->G59;G59<->H59;H59<->I59;I59<->J59
terminal_upper_col_60,vertical_terminal_strip,vertical,5,A60;B60;C60;D60;E60,A60<->B60;B60<->C60;C60<->D60;D60<->E60
terminal_lower_col_60,vertical_terminal_strip,vertical,5,F60;G60;H60;I60;J60,F60<->G60;G60<->H60;H60<->I60;I60<->J60
terminal_upper_col_61,vertical_terminal_strip,vertical,5,A61;B61;C61;D61;E61,A61<->B61;B61<->C61;C61<->D61;D61<->E61
terminal_lower_col_61,vertical_terminal_strip,vertical,5,F61;G61;H61;I61;J61,F61<->G61;G61<->H61;H61<->I61;I61<->J61
terminal_upper_col_62,vertical_terminal_strip,vertical,5,A62;B62;C62;D62;E62,A62<->B62;B62<->C62;C62<->D62;D62<->E62
terminal_lower_col_62,vertical_terminal_strip,vertical,5,F62;G62;H62;I62;J62,F62<->G62;G62<->H62;H62<->I62;I62<->J62
