epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2177.97,0.6957,0.36106,0.81953,0.98951,0.99482,0.99338,0.82994,0.7376,0.3409,0.82855,0.00026161,0.00026161,0.00026161
66,2215.94,0.6881,0.35336,0.82094,0.99125,0.9983,0.99317,0.82995,0.74715,0.3443,0.8271,0.000254541,0.000254541,0.000254541
67,2255.61,0.69227,0.35885,0.82062,0.99235,0.99769,0.99326,0.83219,0.74173,0.33816,0.82884,0.000247472,0.000247472,0.000247472
68,2300.13,0.70326,0.36063,0.82564,0.99092,0.99804,0.99288,0.82932,0.74285,0.33653,0.82909,0.000240404,0.000240404,0.000240404
69,2341.05,0.69141,0.35645,0.82419,0.99063,0.99575,0.99297,0.8267,0.74857,0.34113,0.8307,0.000233335,0.000233335,0.000233335
70,2387.8,0.67136,0.34811,0.82097,0.99052,0.99494,0.99303,0.83323,0.73853,0.3371,0.82849,0.000226267,0.000226267,0.000226267
71,2433.32,0.66384,0.34175,0.81643,0.98999,0.99512,0.99324,0.82816,0.73284,0.33126,0.8262,0.000219198,0.000219198,0.000219198
72,2471.37,0.67395,0.34976,0.82249,0.98947,0.99529,0.9931,0.83208,0.74094,0.33236,0.82899,0.000212129,0.000212129,0.000212129
73,2507.48,0.66197,0.34636,0.8217,0.98803,0.99409,0.99341,0.8299,0.74018,0.32991,0.82856,0.000205061,0.000205061,0.000205061
74,2543.72,0.6654,0.3461,0.81891,0.98862,1,0.99378,0.82809,0.73644,0.32962,0.82519,0.000197992,0.000197992,0.000197992
75,2580.3,0.66521,0.342,0.818,0.98875,0.99515,0.99362,0.82978,0.74105,0.33198,0.82767,0.000190924,0.000190924,0.000190924
76,2615.59,0.66123,0.34771,0.81959,0.98896,0.99754,0.99364,0.82911,0.73999,0.33869,0.82805,0.000183855,0.000183855,0.000183855
77,2648.28,0.67654,0.34568,0.81306,0.98822,0.99618,0.9936,0.82973,0.73653,0.33465,0.82591,0.000176786,0.000176786,0.000176786
78,2686.92,0.66081,0.33723,0.81678,0.98759,0.99574,0.99324,0.83131,0.74985,0.3359,0.82971,0.000169718,0.000169718,0.000169718
79,2714.38,0.67566,0.34566,0.82268,0.98791,0.99769,0.99324,0.82499,0.73905,0.33558,0.82655,0.000162649,0.000162649,0.000162649
80,2782.68,0.65785,0.34092,0.81469,0.98814,0.99535,0.99379,0.82944,0.75031,0.33493,0.83282,0.000155581,0.000155581,0.000155581
81,2822.06,0.65537,0.33759,0.81273,0.9882,0.9965,0.99374,0.83131,0.73868,0.32859,0.82949,0.000148512,0.000148512,0.000148512
82,2873.92,0.65503,0.33732,0.81841,0.98916,0.99537,0.99355,0.8339,0.7283,0.32463,0.82581,0.000141443,0.000141443,0.000141443
83,2913.42,0.66304,0.33634,0.81382,0.99016,0.99421,0.99332,0.82924,0.73396,0.32862,0.8279,0.000134375,0.000134375,0.000134375
84,2948.74,0.64553,0.32783,0.81596,0.98937,0.99831,0.99326,0.83333,0.72919,0.32373,0.82701,0.000127306,0.000127306,0.000127306
85,2985.61,0.64401,0.32844,0.81446,0.98991,0.99899,0.99305,0.83586,0.73424,0.32348,0.8283,0.000120238,0.000120238,0.000120238
86,3022.42,0.64799,0.32936,0.81448,0.992,0.99854,0.99326,0.83012,0.73926,0.32373,0.83002,0.000113169,0.000113169,0.000113169
87,3059.41,0.66203,0.33566,0.81865,0.99343,0.99887,0.9935,0.82996,0.73209,0.32141,0.8272,0.0001061,0.0001061,0.0001061
88,3096.98,0.64302,0.33043,0.81509,0.99006,0.99808,0.99359,0.83345,0.72921,0.32216,0.82839,9.90318e-05,9.90318e-05,9.90318e-05
89,3135.05,0.63131,0.32182,0.81124,0.99077,0.99476,0.99331,0.82997,0.73409,0.32104,0.82949,9.19632e-05,9.19632e-05,9.19632e-05
90,3168.98,0.64021,0.32393,0.81509,0.98961,0.99445,0.99366,0.83383,0.7348,0.32329,0.82948,8.48946e-05,8.48946e-05,8.48946e-05
91,3334.97,0.63245,0.31561,0.80606,0.98925,0.99663,0.99366,0.83046,0.73684,0.32069,0.83148,7.7826e-05,7.7826e-05,7.7826e-05
92,3366.55,0.63384,0.30737,0.81614,0.98983,0.99438,0.99372,0.82911,0.7407,0.32306,0.83124,7.07574e-05,7.07574e-05,7.07574e-05
93,3395.91,0.63088,0.31044,0.80645,0.98668,0.99539,0.99367,0.82971,0.74268,0.32092,0.83184,6.36888e-05,6.36888e-05,6.36888e-05
94,3416.89,0.6281,0.30657,0.80537,0.99032,0.99804,0.99367,0.82787,0.73927,0.32041,0.83027,5.66202e-05,5.66202e-05,5.66202e-05
95,3442.55,0.60877,0.30458,0.80588,0.99035,0.99897,0.9935,0.82756,0.73396,0.31755,0.82933,4.95516e-05,4.95516e-05,4.95516e-05
96,3470.55,0.62665,0.30807,0.80563,0.99079,0.99862,0.99345,0.83278,0.73722,0.3167,0.83138,4.2483e-05,4.2483e-05,4.2483e-05
97,3495.01,0.62767,0.30355,0.80555,0.98666,0.99814,0.99361,0.83062,0.73572,0.31789,0.82981,3.54144e-05,3.54144e-05,3.54144e-05
98,3519.35,0.61492,0.30357,0.80198,0.98788,0.99744,0.99358,0.83293,0.73159,0.31583,0.82934,2.83458e-05,2.83458e-05,2.83458e-05
99,3566.36,0.60042,0.30035,0.80325,0.98846,0.99753,0.99363,0.83098,0.73178,0.31738,0.82946,2.12772e-05,2.12772e-05,2.12772e-05
100,3585.59,0.60581,0.29623,0.79977,0.98798,0.99734,0.99374,0.82995,0.73158,0.31593,0.82842,1.42086e-05,1.42086e-05,1.42086e-05
