epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1551.52,0.77429,0.43624,0.85328,0.98508,0.99058,0.9916,0.8057,0.85717,0.41714,0.86407,0.000342666,0.000342666,0.000342666
58,1577.96,0.79744,0.44218,0.86438,0.9848,0.99132,0.99128,0.80268,0.86577,0.4246,0.86406,0.000335053,0.000335053,0.000335053
59,1604.63,0.7631,0.42859,0.85391,0.98729,0.98909,0.99048,0.79888,0.86966,0.42056,0.86706,0.00032744,0.00032744,0.00032744
60,1637.48,0.77316,0.43077,0.85655,0.98536,0.99143,0.99119,0.80659,0.85422,0.41335,0.86359,0.000319827,0.000319827,0.000319827
61,1670.14,0.7775,0.42581,0.85489,0.98368,0.99145,0.99175,0.80314,0.85229,0.41632,0.86277,0.000312214,0.000312214,0.000312214
62,1744.3,0.77996,0.42975,0.85722,0.98492,0.99263,0.99102,0.80741,0.85519,0.41679,0.86316,0.000304601,0.000304601,0.000304601
63,1938.64,0.75911,0.416,0.85039,0.98542,0.99056,0.99076,0.80644,0.83893,0.41288,0.86146,0.000296988,0.000296988,0.000296988
64,2123.21,0.75538,0.4206,0.85647,0.98605,0.99166,0.99058,0.80715,0.84387,0.40623,0.86083,0.000289375,0.000289375,0.000289375
65,2298.88,0.76159,0.41984,0.85536,0.98497,0.9927,0.99109,0.80653,0.85582,0.41485,0.86058,0.000281762,0.000281762,0.000281762
66,26.1383,0.78149,0.43653,0.8607,0.98568,0.99342,0.99118,0.80145,0.85318,0.41767,0.86397,0.000274148,0.000274148,0.000274148
67,47.6027,0.75786,0.41899,0.85105,0.98758,0.99073,0.99141,0.79822,0.85781,0.41598,0.86343,0.000266535,0.000266535,0.000266535
68,103.93,0.76886,0.41885,0.85342,0.98971,0.98848,0.99166,0.80148,0.8566,0.41305,0.86171,0.000258922,0.000258922,0.000258922
69,218.604,0.75644,0.41923,0.8525,0.97977,0.99253,0.99207,0.80705,0.84657,0.4099,0.85884,0.000251309,0.000251309,0.000251309
70,355.652,0.75136,0.4123,0.85149,0.98468,0.99246,0.9912,0.80494,0.85412,0.40676,0.85979,0.000243696,0.000243696,0.000243696
71,446.427,0.75568,0.41613,0.85405,0.98399,0.99193,0.99177,0.80639,0.86027,0.40841,0.86546,0.000236083,0.000236083,0.000236083
72,524.591,0.7618,0.41317,0.85564,0.98287,0.9917,0.99124,0.8047,0.85054,0.40708,0.86343,0.00022847,0.00022847,0.00022847
73,577.471,0.74098,0.40316,0.84748,0.98684,0.98977,0.99167,0.80848,0.84567,0.3996,0.86045,0.000220857,0.000220857,0.000220857
74,688.275,0.7561,0.40915,0.85283,0.98503,0.99296,0.99217,0.8095,0.8581,0.40194,0.862,0.000213244,0.000213244,0.000213244
75,783.744,0.7511,0.40514,0.84852,0.98774,0.99082,0.99165,0.81141,0.84497,0.40004,0.86018,0.000205631,0.000205631,0.000205631
76,842.887,0.73014,0.39943,0.84354,0.98708,0.99122,0.99141,0.8066,0.84652,0.39948,0.86144,0.000198018,0.000198018,0.000198018
77,903.953,0.7313,0.4021,0.84293,0.98748,0.9896,0.99187,0.8053,0.85716,0.4006,0.86289,0.000190404,0.000190404,0.000190404
78,962.559,0.73376,0.39921,0.84787,0.98745,0.99078,0.9912,0.80834,0.85448,0.40289,0.86191,0.000182791,0.000182791,0.000182791
79,1018.59,0.7293,0.39784,0.84554,0.98605,0.9901,0.99132,0.80857,0.8489,0.39641,0.86002,0.000175178,0.000175178,0.000175178
80,1075.03,0.72259,0.39096,0.84381,0.98628,0.99011,0.9915,0.8122,0.8377,0.39524,0.85857,0.000167565,0.000167565,0.000167565
81,1144.27,0.74584,0.39454,0.84646,0.98463,0.99257,0.99093,0.81387,0.83747,0.39537,0.85961,0.000159952,0.000159952,0.000159952
82,1213.94,0.72344,0.39032,0.84556,0.98448,0.9919,0.99111,0.81143,0.84082,0.39291,0.85984,0.000152339,0.000152339,0.000152339
83,1284.39,0.72591,0.38788,0.85025,0.98851,0.98942,0.9915,0.81036,0.84639,0.39624,0.86093,0.000144726,0.000144726,0.000144726
84,1349.1,0.71881,0.38543,0.84276,0.98814,0.98921,0.99186,0.81213,0.84611,0.39535,0.86137,0.000137113,0.000137113,0.000137113
85,1402.04,0.70308,0.38342,0.84264,0.98687,0.99074,0.99186,0.81208,0.84787,0.39463,0.85995,0.0001295,0.0001295,0.0001295
86,1456.91,0.70899,0.3823,0.84314,0.98608,0.99202,0.9918,0.81198,0.84475,0.39543,0.86116,0.000121887,0.000121887,0.000121887
87,1509.63,0.70817,0.38066,0.84181,0.98595,0.99169,0.99173,0.81363,0.84905,0.39019,0.86114,0.000114273,0.000114273,0.000114273
88,1595.62,0.72166,0.38556,0.84587,0.98653,0.98871,0.99154,0.81039,0.85264,0.39323,0.86232,0.00010666,0.00010666,0.00010666
89,1694.34,0.70007,0.37652,0.84,0.98839,0.98945,0.99134,0.81373,0.84223,0.39028,0.8603,9.90472e-05,9.90472e-05,9.90472e-05
90,1800.4,0.70754,0.37537,0.84503,0.98689,0.98923,0.99188,0.81235,0.84532,0.38771,0.86071,9.14341e-05,9.14341e-05,9.14341e-05
91,1974.75,0.71126,0.37882,0.84295,0.98736,0.99009,0.9922,0.80796,0.85195,0.39114,0.86328,8.3821e-05,8.3821e-05,8.3821e-05
92,2074.52,0.69805,0.36769,0.84183,0.98881,0.98882,0.99211,0.8054,0.85532,0.39023,0.86401,7.62079e-05,7.62079e-05,7.62079e-05
93,2177.66,0.70025,0.36895,0.84084,0.98658,0.9906,0.99156,0.80657,0.85592,0.3913,0.86336,6.85948e-05,6.85948e-05,6.85948e-05
94,2239.25,0.69786,0.36944,0.84149,0.98752,0.9905,0.99162,0.80725,0.85379,0.39082,0.86373,6.09817e-05,6.09817e-05,6.09817e-05
95,2266.95,0.6933,0.36893,0.83894,0.98637,0.99122,0.99137,0.80461,0.85367,0.38967,0.86422,5.33686e-05,5.33686e-05,5.33686e-05
96,2293.32,0.6866,0.36401,0.83518,0.98536,0.99167,0.99165,0.80937,0.84604,0.38693,0.86148,4.57555e-05,4.57555e-05,4.57555e-05
97,2315.21,0.6845,0.36214,0.83643,0.98801,0.98875,0.99202,0.80975,0.84672,0.38605,0.86212,3.81424e-05,3.81424e-05,3.81424e-05
98,2341.48,0.68642,0.36358,0.84282,0.98873,0.9882,0.99172,0.80953,0.84529,0.38783,0.86208,3.05293e-05,3.05293e-05,3.05293e-05
99,2368.43,0.67789,0.3577,0.83822,0.98815,0.9882,0.99203,0.81117,0.84648,0.38574,0.8618,2.29162e-05,2.29162e-05,2.29162e-05
100,2397.79,0.68016,0.3573,0.83814,0.9877,0.98913,0.99175,0.81238,0.84764,0.38451,0.86233,1.53031e-05,1.53031e-05,1.53031e-05
