epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,738.92,0.86002,0.66063,0.12693,0.50887,1.08766,0.97106,0.98502,0.9913,0.78078,0.95296,0.94346,0.94021,0.82121,0.85194,0.79865,0.05138,0.39945,1.09872,0.00050404,0.00050404,0.00050404
47,755.147,0.8573,0.62577,0.13165,0.50845,1.08977,0.97079,0.98364,0.99254,0.77917,0.94681,0.94801,0.94013,0.83613,0.85154,0.78951,0.05122,0.39823,1.09491,0.000495041,0.000495041,0.000495041
48,771.667,0.83598,0.59551,0.1314,0.5006,1.07582,0.97416,0.97466,0.9895,0.77955,0.94393,0.93818,0.93147,0.82241,0.8595,0.7779,0.04537,0.39594,1.09868,0.000486042,0.000486042,0.000486042
49,787.731,0.85437,0.57,0.1293,0.50133,1.07931,0.95932,0.98799,0.98783,0.77604,0.93921,0.95062,0.94403,0.84098,0.85589,0.7774,0.04775,0.40123,1.09533,0.000477043,0.000477043,0.000477043
50,804.091,0.83529,0.59373,0.12552,0.48141,1.06997,0.96404,0.98447,0.99109,0.77523,0.94146,0.95286,0.94386,0.82135,0.84406,0.789,0.04658,0.392,1.09591,0.000468044,0.000468044,0.000468044
51,820.266,0.84097,0.60682,0.12799,0.49475,1.08184,0.96795,0.98631,0.99275,0.77996,0.93372,0.94966,0.92722,0.82772,0.84118,0.76842,0.05772,0.38859,1.08698,0.000459045,0.000459045,0.000459045
52,836.537,0.82686,0.55603,0.12623,0.48031,1.073,0.94962,0.99445,0.98795,0.77891,0.91537,0.9411,0.92769,0.81994,0.83986,0.81621,0.05053,0.39559,1.08955,0.000450046,0.000450046,0.000450046
53,852.952,0.82804,0.64783,0.13111,0.48048,1.07037,0.96408,0.98946,0.99123,0.78461,0.9302,0.94947,0.9273,0.82171,0.84276,0.77413,0.04534,0.3904,1.09213,0.000441047,0.000441047,0.000441047
54,869.171,0.8397,0.60556,0.12739,0.48617,1.07501,0.95973,0.98429,0.99092,0.78139,0.93745,0.94957,0.94335,0.8439,0.85284,0.75491,0.05159,0.39591,1.09454,0.000432048,0.000432048,0.000432048
55,885.55,0.81998,0.59057,0.1281,0.47306,1.06861,0.96046,0.99175,0.99083,0.77799,0.93025,0.94862,0.92601,0.82372,0.8443,0.75793,0.03554,0.38866,1.09498,0.000423049,0.000423049,0.000423049
56,901.854,0.82081,0.54447,0.11799,0.47301,1.06378,0.97527,0.98952,0.99238,0.78092,0.94221,0.9525,0.93612,0.84654,0.84986,0.72766,0.04914,0.37731,1.08984,0.000414049,0.000414049,0.000414049
57,918.222,0.82621,0.58256,0.1208,0.47782,1.07029,0.95912,0.99306,0.99118,0.77873,0.93125,0.94899,0.92841,0.83106,0.85202,0.73489,0.05365,0.38459,1.09271,0.00040505,0.00040505,0.00040505
58,934.403,0.79258,0.51896,0.12213,0.46075,1.05505,0.96944,0.98483,0.98895,0.77637,0.94107,0.95146,0.93278,0.83268,0.84978,0.73959,0.04237,0.38506,1.09861,0.000396051,0.000396051,0.000396051
59,950.51,0.81428,0.54368,0.11301,0.46681,1.06318,0.96504,0.9877,0.99188,0.78472,0.93661,0.95408,0.93735,0.85447,0.84328,0.7301,0.04481,0.37471,1.09363,0.000387052,0.000387052,0.000387052
60,966.911,0.8048,0.55592,0.12325,0.45548,1.06113,0.96525,0.9889,0.99039,0.7821,0.93825,0.95974,0.93605,0.83533,0.83503,0.73864,0.04084,0.37898,1.0901,0.000378053,0.000378053,0.000378053
61,983.163,0.79725,0.54224,0.11757,0.45446,1.05113,0.96128,0.99366,0.99211,0.7865,0.94386,0.95566,0.93849,0.84657,0.83602,0.71344,0.04789,0.3691,1.08646,0.000369054,0.000369054,0.000369054
62,998.039,0.79406,0.52199,0.11584,0.45162,1.05054,0.97361,0.98876,0.99058,0.78372,0.93058,0.94405,0.91713,0.82957,0.83385,0.74525,0.04653,0.36942,1.08736,0.000360055,0.000360055,0.000360055
63,1014.06,0.79492,0.47892,0.11656,0.45025,1.0512,0.97972,0.99093,0.99316,0.79206,0.94402,0.94975,0.93908,0.85288,0.82239,0.72392,0.0485,0.36121,1.0825,0.000351056,0.000351056,0.000351056
64,1029.82,0.79168,0.5418,0.11536,0.45036,1.04807,0.97781,0.98707,0.992,0.78398,0.94221,0.9468,0.93608,0.85132,0.82875,0.72299,0.03807,0.36296,1.08526,0.000342057,0.000342057,0.000342057
65,1044.4,0.79199,0.52747,0.11173,0.44886,1.0459,0.97163,0.98727,0.99343,0.78793,0.94316,0.95418,0.94291,0.85349,0.83066,0.72052,0.04316,0.36518,1.08826,0.000333058,0.000333058,0.000333058
66,1060.12,0.78016,0.47794,0.10613,0.44063,1.03976,0.97622,0.9878,0.99299,0.78751,0.93101,0.94436,0.93044,0.83721,0.83157,0.71459,0.03478,0.35873,1.0864,0.000324058,0.000324058,0.000324058
67,1075.53,0.77483,0.49079,0.11285,0.42936,1.04956,0.96817,0.99367,0.99093,0.78934,0.92921,0.95378,0.93729,0.84913,0.83389,0.71763,0.04482,0.36449,1.08991,0.000315059,0.000315059,0.000315059
68,1091.31,0.77447,0.47081,0.10768,0.43723,1.03791,0.97265,0.99139,0.99372,0.78545,0.94964,0.94905,0.94948,0.8505,0.83605,0.70332,0.04418,0.36094,1.09129,0.00030606,0.00030606,0.00030606
69,1107.63,0.76294,0.50387,0.10897,0.43536,1.03938,0.96448,0.99177,0.99147,0.78953,0.93386,0.95054,0.94328,0.85496,0.82448,0.69856,0.04008,0.36347,1.08226,0.000297061,0.000297061,0.000297061
70,1123.87,0.76634,0.50668,0.10477,0.42441,1.03136,0.97535,0.98498,0.99112,0.79046,0.94023,0.9491,0.93798,0.85343,0.82237,0.70408,0.0421,0.36177,1.08037,0.000288062,0.000288062,0.000288062
71,1140,0.76317,0.49462,0.10594,0.43061,1.03773,0.96624,0.99921,0.99245,0.78808,0.93303,0.95224,0.93928,0.85804,0.8358,0.71856,0.04296,0.35618,1.09546,0.000279063,0.000279063,0.000279063
72,1156.5,0.75353,0.48353,0.10703,0.4315,1.03323,0.97252,0.99336,0.9942,0.7918,0.95227,0.95088,0.94837,0.85779,0.82009,0.69357,0.05279,0.34524,1.08237,0.000270064,0.000270064,0.000270064
73,1172.78,0.75385,0.49314,0.1057,0.42489,1.03162,0.97303,0.98972,0.99223,0.7895,0.94108,0.94612,0.93802,0.85576,0.82368,0.69137,0.04381,0.35389,1.08407,0.000261065,0.000261065,0.000261065
74,1188.82,0.74486,0.48094,0.10216,0.42165,1.03061,0.96944,0.99531,0.99296,0.78613,0.9415,0.94744,0.93999,0.85962,0.83361,0.68163,0.04124,0.3495,1.09099,0.000252066,0.000252066,0.000252066
75,1204.87,0.74431,0.50016,0.10829,0.41343,1.03222,0.97304,0.99125,0.99229,0.78703,0.94298,0.95492,0.93847,0.85812,0.83806,0.68179,0.04948,0.3552,1.09038,0.000243067,0.000243067,0.000243067
76,1221.2,0.74735,0.45783,0.09644,0.41382,1.0307,0.97622,0.98967,0.9906,0.78215,0.9402,0.94653,0.93581,0.86,0.83414,0.66829,0.04012,0.34595,1.09067,0.000234068,0.000234068,0.000234068
77,1237.49,0.7425,0.46834,0.09734,0.4141,1.02592,0.97495,0.99499,0.99119,0.78608,0.93769,0.95041,0.93781,0.85703,0.83166,0.67535,0.04559,0.34845,1.08907,0.000225068,0.000225068,0.000225068
78,1253.35,0.73014,0.45446,0.09868,0.41009,1.02557,0.97242,0.99595,0.99395,0.79467,0.94286,0.94739,0.93874,0.86919,0.82853,0.67994,0.03874,0.34752,1.09242,0.000216069,0.000216069,0.000216069
79,1269.45,0.72386,0.48645,0.10369,0.40872,1.0237,0.97761,0.98696,0.99313,0.78933,0.94792,0.94636,0.9425,0.85775,0.83267,0.66391,0.03875,0.34514,1.08729,0.00020707,0.00020707,0.00020707
80,1285.51,0.72325,0.41431,0.09419,0.40031,1.01948,0.97384,0.99577,0.99316,0.78917,0.93886,0.94739,0.93354,0.85679,0.83412,0.66861,0.04277,0.34166,1.09401,0.000198071,0.000198071,0.000198071
81,1301.62,0.73304,0.43487,0.09335,0.40208,1.02386,0.97878,0.98908,0.99349,0.78996,0.94118,0.94102,0.92808,0.84077,0.83119,0.68904,0.04264,0.34109,1.08958,0.000189072,0.000189072,0.000189072
82,1317.7,0.71377,0.42026,0.09632,0.39438,1.01974,0.97421,0.99227,0.99129,0.78987,0.94375,0.95547,0.93768,0.85211,0.82854,0.67248,0.04108,0.34285,1.08846,0.000180073,0.000180073,0.000180073
83,1333.92,0.71137,0.46184,0.09382,0.40254,1.01807,0.97441,0.98944,0.99268,0.78822,0.94643,0.95252,0.94359,0.86993,0.83481,0.65843,0.03757,0.34443,1.09823,0.000171074,0.000171074,0.000171074
84,1350.32,0.71498,0.44146,0.09378,0.39548,1.01843,0.97651,0.9909,0.99383,0.78802,0.95129,0.95089,0.94558,0.86426,0.83589,0.66805,0.04389,0.33638,1.09785,0.000162075,0.000162075,0.000162075
85,1366.5,0.70437,0.40721,0.09733,0.39253,1.01969,0.97044,0.99856,0.9934,0.79197,0.9481,0.94464,0.94534,0.8649,0.82687,0.67331,0.04583,0.33078,1.08775,0.000153076,0.000153076,0.000153076
86,1382.62,0.70496,0.41068,0.09315,0.3866,1.01231,0.97206,0.99239,0.99384,0.79363,0.94427,0.94592,0.94448,0.86752,0.82287,0.66598,0.04757,0.33229,1.09052,0.000144077,0.000144077,0.000144077
87,1398.02,0.7047,0.45704,0.09559,0.38648,1.01447,0.97319,0.99266,0.99205,0.78766,0.94867,0.95116,0.94419,0.86859,0.82392,0.67385,0.04731,0.33567,1.09277,0.000135077,0.000135077,0.000135077
88,1412.31,0.69849,0.45565,0.08604,0.38361,1.01049,0.97469,0.98913,0.99317,0.7884,0.9531,0.94764,0.94388,0.8707,0.82925,0.66232,0.03652,0.33311,1.09623,0.000126078,0.000126078,0.000126078
