epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,968.319,0.8781,1.03847,0.19795,0.5308,0.88585,0.98121,0.97989,0.98792,0.7643,0.93643,0.93008,0.91983,0.76089,0.90727,1.39653,0.06685,0.49638,0.88195,0.000585032,0.000585032,0.000585032
38,994.224,0.87512,1.03431,0.20022,0.52449,0.88394,0.98382,0.9858,0.99001,0.76088,0.93732,0.9388,0.93598,0.76664,0.90491,1.35803,0.06657,0.4985,0.88358,0.000576033,0.000576033,0.000576033
39,1020.22,0.89009,1.09704,0.20286,0.53312,0.88005,0.97658,0.98873,0.98755,0.76535,0.93242,0.94575,0.93233,0.75489,0.9143,1.40208,0.06628,0.48624,0.88161,0.000567034,0.000567034,0.000567034
40,1046.22,0.86771,0.91201,0.19778,0.5221,0.88074,0.98088,0.97905,0.99045,0.75789,0.92593,0.92951,0.92054,0.74694,0.94478,1.39394,0.06177,0.507,0.8905,0.000558035,0.000558035,0.000558035
41,1072.34,0.86571,0.97299,0.19927,0.51696,0.88098,0.9809,0.98216,0.9875,0.75656,0.93952,0.92874,0.9201,0.76525,0.91955,1.3696,0.06251,0.49574,0.88487,0.000549036,0.000549036,0.000549036
42,1099.98,0.86677,1.00289,0.17492,0.51505,0.88071,0.98288,0.98631,0.98949,0.76734,0.93423,0.93959,0.92755,0.77293,0.91381,1.33102,0.06176,0.48089,0.8838,0.000540037,0.000540037,0.000540037
43,1125.91,0.86756,0.98509,0.20306,0.51964,0.87776,0.98138,0.98656,0.99003,0.77051,0.93837,0.94428,0.93717,0.78509,0.89872,1.31686,0.05926,0.47628,0.87883,0.000531038,0.000531038,0.000531038
44,1152.1,0.86242,0.89736,0.19479,0.51706,0.88497,0.98619,0.98571,0.98838,0.7651,0.94133,0.94084,0.93518,0.77766,0.89021,1.28304,0.05769,0.47482,0.8796,0.000522039,0.000522039,0.000522039
45,1178.31,0.86028,0.925,0.19497,0.51128,0.8807,0.97951,0.98362,0.98972,0.76713,0.93235,0.93994,0.92649,0.77249,0.90632,1.30491,0.05837,0.4862,0.88434,0.00051304,0.00051304,0.00051304
46,1206.52,0.86058,0.89726,0.18663,0.50462,0.87952,0.98517,0.98277,0.98829,0.76979,0.93834,0.93656,0.93119,0.78265,0.91196,1.26676,0.0559,0.47713,0.88283,0.00050404,0.00050404,0.00050404
